product_no,store,supplier,product_description,product_division,product_category,product_subcategory,product_segment,sales_channel,total_gross_sales,total_returns,total_net_sales,total_cogs,total_gross_profit,total_qty_sold,total_transactions,current_qty_on_hand,current_inventory_value_at_cost,current_inventory_value_at_retail,inventory_data_issue_flag,gross_margin_pct,fast_moving_flag,slow_moving_flag,stockout_risk_flag,overstock_risk_flag
PROD-100043,STR-1006,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,96.0,0.0,96.0,68.74,27.260000000000005,1.0,1,1.0,67.61,160.0,0.0,0.28395833333333337,0,1,0,1
PROD-100043,STR-1010,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,68.02,91.98,1.0,1,2.0,136.03,320.0,0.0,0.574875,0,1,0,1
PROD-100043,STR-1026,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,160.0,0.0,0.0,0.0,0.0,2,1.0,69.01,160.0,0.0,0.0,0,1,0,1
PROD-100043,STR-1074,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,112.0,112.0,0.0,0.010000000000005116,-0.010000000000005116,0.0,2,1.0,67.99,160.0,0.0,0.0,0,1,0,1
PROD-100043,STR-1149,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,160.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0,1,0,1
PROD-100043,STR-1194,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,70.5,89.5,1.0,1,0.0,0.0,0.0,0.0,0.559375,0,1,0,1
PROD-100043,STR-1198,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,68.78,91.22,1.0,1,0.0,0.0,0.0,0.0,0.570125,0,1,0,1
PROD-100043,STR-1203,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,67.1,92.9,1.0,1,2.0,134.2,320.0,0.0,0.5806250000000001,0,1,0,1
PROD-100043,STR-1219,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,67.79,92.21,1.0,1,3.0,206.29,480.0,0.0,0.5763125,0,1,0,1
PROD-100043,STR-1255,Vendor 0064,PROD-189472 SEG-520541 Femme Footwear Boot Collection Plushfoot,Femme Footwear,Femme Footwear Boot Collection,Femme Footwear Boot Collection Plushfoot,SEG-520541 Femme Footwear Boot Collection Plushfoot,Channel Alpha,160.0,0.0,160.0,67.84,92.16,1.0,1,3.0,203.52,480.0,0.0,0.576,0,1,0,1
